horizon_days,base_rate,roc_auc,pr_auc,n
5,0.08764839605961101,0.6137770033286419,0.14180000559868072,3959
10,0.18262187421065926,0.630060419861619,0.26794331712718134,3959
20,0.340167046317388,0.6748948572524521,0.5180043205834071,3951
40,0.4986008649198677,0.7108822828979384,0.7405856431642553,3931
