period,n,roc_auc,n_positive,pr_auc,base_rate
Pre-GFC (≤2007),0,,0,,
GFC (2008–2009),0,,0,,
Post-GFC (2010–2019),2334,0.7056706476944844,908,0.5730610021827854,0.389031705227078
COVID (2020),260,0.5622921661124429,67,0.300069279485849,0.25769230769230766
Recent (2021+),1357,0.5433412330074717,369,0.30471810530520665,0.27192336035372144
