model,n_features,roc_auc,pr_auc,brier,precision,recall,f1,base_rate,n,n_positive
VIX-level baseline,1,0.47253821170544175,0.3328164365482008,0.28863370747729594,0.48148148148148145,0.009219858156028368,0.018093249826026444,0.34516523867809057,4085,1410
Volatility-only,3,0.5272572013078343,0.37022885003381667,0.24089357699721795,0.375,0.29464285714285715,0.33,0.340167046317388,3951,1344
Liquidity-only,4,0.5426510242570369,0.354392068717991,0.24593733675205892,0.3912,0.3638392857142857,0.37702390131071706,0.340167046317388,3951,1344
Full (all 9),9,0.6748948572524521,0.5180043205834071,0.229038759923969,0.530949105914718,0.5744047619047619,0.5518227305218013,0.340167046317388,3951,1344
Full − liquidity,5,0.6718273375710085,0.5174566861098624,0.22537979178084927,0.5351194786386676,0.5498511904761905,0.5423853211009174,0.340167046317388,3951,1344
