metric,point,ci_lo,ci_hi,n_reps
roc_auc,0.6752613338286008,0.5899199316475413,0.7353817180421537,1000
pr_auc,0.5187629769121129,0.3734519727819103,0.623851398961466,1000
brier,0.22903024383526494,0.20281313976424936,0.2647312175473024,1000
