bin_mid,mean_pred,obs_freq,count
0.05,0.055046179628677035,0.1568627450980392,510
0.15000000000000002,0.14518965935036707,0.25,436
0.25,0.25752250498413143,0.2786259541984733,524
0.35000000000000003,0.34534861663752586,0.24329159212880144,559
0.45,0.44639922267049587,0.22004357298474944,459
0.55,0.5520138396541443,0.4856115107913669,278
0.6500000000000001,0.6531396550725006,0.4462025316455696,316
0.75,0.7445777924077365,0.5346534653465347,404
0.8500000000000001,0.8590387850550834,0.6273062730627307,271
0.95,0.944962612279585,0.6010928961748634,183
