threshold,base_rate,roc_auc,pr_auc,n
0.03,0.45127815742849914,0.6127815386398396,0.5709664182247145,3951
0.05,0.340167046317388,0.6748948572524521,0.5180043205834071,3951
0.07,0.2751202227284232,0.7260764597349066,0.5144828487888469,3951
0.1,0.22095671981776766,0.7774231195484786,0.5302707906399142,3951
